,tweet,tipo
4992,ou a sala ficou quente ou eu tava com febre e tá passando (considerando que eu tomei a vacina ontem acho que é a segunda opção),
1224,"eu lembro q antes da vacina, oq eu mais esperava no jornal era a renata falando q tinham criado uma vacina",
14151,sera se a vacina vai me tomba,
13203,"@cartacapital Aí foi um coice, coice curto, coice de porco 🐷! Fabricou vacina..!",replied_to
11122,"Vc sabia? Bolsonaro só age para retirar de Doria protagonismo no processo de vacinação...  
 https://t.co/RQM4xS0dPC",quoted
10971,"q caralho de vacina

pqp",
10963,menina uma dor no osso da perna bem na altura do quadril.. sera q é reaçao da vacina?,
14589,"@JovemPanNews Não vou tomar essa vacina, não sou cobaia.",replied_to
5761,fui na feira ontem comer um pastel e voltei com a quarta dose da vacina do covid 🤡,
3608,"A vacina de ontem não me deu febre e tal, mas a dor no corpo parece que levei uma surra hahahahahhaha",
9977,"Ainda bem a tive covid só depois da vacina de Malu.
🥹",
14404,"@Rconstantino Isso Constantino, continue nesse sentido aí... E da próxima vez, não entre na fila da vacina.",replied_to
4026,"@Lorpeam Não investir em vacina melhor vai fuder muito com a China.
Não compraram as ocidentais (não sei se porque pensam que seria demonstrar fraqueza de não ter a própria) mas não conseguiram desenvolver as próprias até agora também",replied_to
4793,"@MarcelloBrito @simacari @DoraKramer Desejo que você tome todas as doses de vacina que tiver direito. Se quiser, posso disponibilizar as minhas também. Já tenho duas que não tomei.",replied_to
1141,"@portaldaband ""Detalhe"": em janeiro de 2021 começaram a ser aplicadas as ""vacinas COVID-19"" no Brasil...
Mas estamos vendo ultimamente um tipo de ""ciência"" estranha que desconsidera, prévia e automaticamente, o fator ""vacina"", na hora de se ""investigar"" as causas...
https://t.co/KLAJQFoJLd",quoted
9215,"@Gustagusth Aquele ali da vacina e aquela música insuportável, MDS! Duas coisas chatas.",replied_to
1485,pqp vou tomar vacina,
9186,@alanfvsc desde quando vc toma vacina todo mundo sabe que é negacionista,replied_to
8687,"@manda_parei @nikolas_dm Então vc não é a favor do governo Bolsonaro.
Diga a alguns amigos meus e um uma pessoa em especial próxima a minha família que morreu de covid esperando a vacina, enquanto o imbecil do miliciano, chateava.",replied_to
6384,"🟠VACINEM as CRIANÇAS contra a Paralisia infantil.

O Brasil ainda não atingiu a meta de imunização em 2022.

Vamos começar AGORA a reconstrução do país como referência mundial na vacinação.

Tenham consciência. VACINEM as CRIANÇAS!",
1899,Tomei uma vacina em cada braço,
2386,"@OGuinho2 @murilocharao @leonardo_lss_pf @DuquesaDetax Então os vídeos do bolsonaro relacionando a vacina com AIDS é um deep fake? tudo que eu critico são vídeos que ELE fez, muitas vezes em lives que ELE promoveu",replied_to
14890,fui tomar uma vacina de desmaiei DUAS VEZES,
14463,"Vc sabia? Bolsonaro aconselha o gado não tomar vacina, mas coloca sigilo de 100 anos na própria carteira de vacinação 
 https://t.co/7NZAkUs9AW",quoted
3629,CHAMARAM A BOSKO DE ZACARIAS ANTIVACINA KSKAKDKQKSJSKAKSJAKSKAKSKKSKAKSKSKSKKS #VoleiNaESPN,
13134,@aquelasemsorte Nem vacina vem kkkkkkkk🥲,replied_to
6232,@mafelicite2 Kkkkkkkkkkk e nem exige comprovante de vacinação kkkk NADaaaaa !! Toma picada na b agora abiguinho! Toma todas igual água!,replied_to
2157,"""As pessoas que recusam a vacina são as que têm o pensamento mais crítico, o maior discernimento... as mentes e corpos mais fortes ao nosso redor... são as últimas pessoas que precisam de medicação psiquiátrica"" - Dr Peter McCullough https://t.co/PAEuWY8c9N",
7138,"Tomar a quarta dose da vacina, já estou esperando a reação",
670,"Evolução, iníciodos tempos, fim dos tempos, vacina, extraterrestre, BBB e cultura pop em geral: esses são os assuntos que mais me dão preguiça e eu considero insuportável todo mundo que fala disso.",
8163,"Uns ""checadores d fatos"" estrangeiros disseram q as transfusões d sangues d pessoas vacinadas a ñ-vacinados são seguras, q a vacina ñ é transferida pelo sangue. Ué? Então pq estão oferecendo vacinas p/gestantes? Pelo q eu sei, oxigênio e nutrientes são compartilhados na gravidez!",
6884,"aí eu aproveito no sonho e já tomo a quarta dose da vacina pra covinho também 

fim",replied_to
10894,"Olha a reação dessa vacina chegando, já posso sentir.
Alguém avisa que não tenho tempo pra isso e preciso estudar?????",
6463,"@lygia_maria Lembrei do astronauta indo buscar a vacina e até agora não voltou, e vcs aplaudiram isso...
As análises de vcs são ótimas, continuem...
😂😂😂😂😂",replied_to
6069,@jameesbritoo @andreafalconery Sonegador de vacina rapaz kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,replied_to
2913,"@Eddy_NDR06 Acabo de falar com alguém. 
Disse que posso mostrar o certificado de vacinação",replied_to
7436,@LulaOficial Vagabundo vc e sua corja o que matou de brasileiros foi a vacina wue a própria fayzer afirmou eue nso vale nada,replied_to
12797,Febre aftosa: campanha de vacinação termina sábado https://t.co/yblkd3yybO,
13282,@oharacapaldi Principal requisito pra ser companion do 10th: vacina antitetânica em dia,replied_to
13553,"@SafadiGuilherme @RavengarTolo @MauMeirelles Você é da área da saude? Eu não. E como já disse antes, eu fiz a vacina, mas ñ condeno quem ñ qr fazer e ñ sente seguro com a vacina, só teremos total segurança em saber tds os efeitos colaterais depois d algum tempo em uso, tendo em vista q esse tempo ñ tivemos durante estudos.",replied_to
4436,EU QUERO ESSA ANTIVACINA NA CADEIAA,
14573,@lovsyashiro_ vendi meu amor pra comprar o meu mano é muito linda e triste e o que eu vou ir no shopping hoje a tarde eu te aviso se não vou ficar sem querer fazer a vacina contra a minha vida,replied_to
7356,"@juniorbrasil Chega de disse-me-disse, vacina covid causa miorcadite!",replied_to
9424,"@scr3amlic eu não chego a esse ponto, mas toda vez que eu tenho que tomar vacina ou tirar sangue eu surto",replied_to
6327,Procura por vacina contra covid cresce 369% no RN https://t.co/rZ5m0fKg31,
9113,"@vieira_benites @fibroblastoooo @LulaOficial ""Bolsonaro não se preocupou com a população""

- Auxílio 3x maior que o Bolsa Família;
- Água pro NE;
- Aumento de 1000% em Saneamento;
- Queda na violência e desemprego;
- 550 milhões de doses da Vacina;
- Diminuição de impostos;
- Distribuição recorde de Terras e etc.",replied_to
9412,"Tomei a vacina ontem e de madrugada eu tive uma febre desgraçada, até delírio eu tive, Deus é mais kkkkkkk",
13813,"@mab_sp125 rapaz eu já te achava um mestre mas agora entendi q você é algo a mais, como você sabe qual vacina foi usada num país autoritário que nem inflação é divulgada de forma clara e limpa? você é o senhor dos senhores do conhecimento eim sabe até o que a china usou de vacina",replied_to
1385,"@DrBrunoGino Os ricos (e conscientes) foram para os EUA tomar vacina, enquanto a população pobre que depende do SUS ficava a mercê da ""imunidade de rebanho"" (vide caso de Manaus). Foi um projeto de morte com base em negacionismo e fake news",replied_to
12754,"Febre aftosa: campanha de vacinação termina sábado
https://t.co/v4saORdrQS https://t.co/yvP4FC9Phj",
8469,"@navegador_do @f4b10rms Trump já estava tratando com ele mês passado. A coisa pode pegar, agora que vai tocar na vacina que o Trump tanto se orgulhou de apressar.",replied_to
5837,Campanha de vacinação contra febre aftosa termina neste sábado (17) no MA https://t.co/uAg5W2hidp #g1 #g1MA,
8691,Tomei a 3 dose da vacina e meu braço vai cair minha nossa nossa,
5257,"🗣 ️ Atenção, no dia 16 de dezembro de 2022 acontecerá uma ação de saúde com a realização da 3° e 4° dose de vacinação da Covid-19. Não perca essa oportunidade !!

➡️ Orientações para atendimento:

•Apresentar identidade e cartão SUS. ✅

#textoalternativo #uemasul https://t.co/SWZpLRd9bo",
9864,"@Debs_lorrayne sim, é uma vacina que tem que dar a cada 3/4 meses e eu não levei ela ainda. aí agr tá no telhado e já sabe né 🤡",replied_to
7664,"@TalhaFabricio @o_antagonista @LulaOficial @jairbolsonaro Vou dizer algo mais chocante ainda! Não tomei nem uma dose da vacina, não tomarei e estou a cada dia mais feliz da minha decisão! 🥰 😉",replied_to
11553,"@mariogustavo0 @dagofbarros @LulaOficial @ptbrasil Cara, ao invés dele usar o dinheiro pra comprar a vacina ele iria embolsar o dinheiro todo pra ele 🤣🤣🤣🤣
Picanheiro é foda",replied_to
6830,"Chantagem?
Pediu pouco hein?
Que interesse há? Boicotar ou implodir os programas de vacinação? Ou tirar proveito nas compras dos insumos?
Esse angu tem muito caroço. https://t.co/uD5ksUwTVd",quoted
4622,"@zeininha1 Caramba...vc é linda e forte e vai superar isso, tomei a vacina obrigado por ser servidor mas mtas pessoas tem morrido de derrame e infarto sem explicação consequência das vacinas isso tudo é projeto macabro da China e a vota do Ladrão tm faz parte",replied_to
8117,"E questão também ñ  é somente sobre a vacina, mas sim sobre os efeitos colaterais dela no sangue do doador. Vc ñ aceitaria o sangue d uma pessoa com diabetes sem ela estar devidamente sob controle e acompanhamento médico, ou aceitaria?",replied_to
624,"sem clipe, sem single, sem divulgação, sem estratégia, sem vacina 

sza se tornou o grinch pra mariah https://t.co/YfZLdI3MUV",quoted
14710,@PW01ENRI @PS02ANNA @PS02SUMR @PS02WINT @SK03JOSE @PW01LUCA @PW01RAFA @SK03LAUR @SK03LIAN @SK03LISA @PW01ELIA nem vacina pra raiva resolve *,replied_to
2963,"@Jouberth19 Na minha época de estudante se chamava sentidos humanos, acho que ela usou a visão e audição. Depois do atraso na vacinação da covid-19 esses sentidos foram afetados por 58 milhões de brasileiros.",replied_to
14368,"@mariosbessa @GenuinoTeixeira Responde uma perguntinha. 59 milhões votaram em bolsonaro , ou seja metade da população.
Agora escuta essa história e responda

Em julho de 21 um casal amigo tomou a "" vacina"" da covid. 3 dias após os dois foram internados e entubados. Toninho morreu final de julho e a Eliana",replied_to
4037,"Apresentador da Record Rs Voltaire Porto, encontrado morto em Porto Alegre. Policia suspeita de suicidio. Em sendo descartada esta possibilidade, teremos então mais uma possível vitima da famigerada vacina experimental.",
10300,@SigaGazetaBR Esconderam ou fizeram uma vacina????,replied_to
6278,meu braço simplesmente foi de arrasta pra cima por causa da vacina antitetânica eu tinha esquecido como era o cão essa porra,
5399,"@RenanEvaristo_ Bom foi o Bolsonaro né? Que disse que não existe fome no Brasil, que permitiu mortes por covid, negou vacina, disse para não usarem máscaras e fez um monte de merda",replied_to
6404,@daylima843 @LulaOficial O limpa no Brasil quem fez foi o  bolsonaro que roubou 400 mil e tirou da educação. Deixou 688 mil pessoas morrer não podia comprar vacina mais pode comprar 35 mil de viagra ridículo acorda. Bolsonaro uma vergonha de presidente,replied_to
14220,"Morre, aos 95, Isaias Raw, notório pesquisador brasileiro e que dirigiu o Butantan por 6 anos.Médico morreu em casa na noite desta terça (13); nos últimos anos, atuava no desenvolvimento da vacina da dengue no Butantan 

https://t.co/bFvqbUdcam",
13504,"Tomei a vacina do Covid resfriada , já me arriei mais",
8174,"""meu filho nunca tomou vacina e está ótimo"" 
o filho: https://t.co/Qd5KltUdf6",
1769,Tomei a quarta dose da vacina e tô pobre.,
18,Tava na fila da vacina e tinha duas crianças brigando sobre a mãe de quem ia tomar injeção. Deu 2min elas tavam pulando e brincando juntas ksjsksksk,
13603,"@FONSECAFARO O genocídio de massa que a vacinação causa não deve ser imputado apenas a governos, mas às farmacêuticas e aos média que levianamente difundiram essa panaceia sem pré-verificação, sem debate e até perseguição aos cépticos da vacinação.
Os resultados estão à vista.",replied_to
2545,"@JosianeLopesdo8 @Henriqu06435251 @Joxxhh @LulaOficial Graças a Deus que não morreu.
 A vacina tem uma parte proteína do vírus, ou o vírus inativado. Isso faz com que o nosso corpo gere uma reação sobre a vacina, mas não sobre o virus. Essas reações são sintomas de que o seu corpo está produzindo a linha de defesa adaptativa.",replied_to
12989,"me dispensaram do estágio hoje porque caiu a energia na empresa e vim resolver minha vida, finalmente tomei o 2º reforço da vacina, fiz exame admissional produtiva d+ a gata",
15072,"A pediatra de Clarice elogiou tanto ela, q ela está ótima de saúde, me elogiou como mãe, a caderneta de vacina dela tb que não tem nenhuma atrasada. Ganhei meu diiiiia, eu amo essa pediatra 🥰🥰🥰🥰🥰🥰🥰🥰🥰💖",
14595,"se cuidem rapaziada, tomem todas as doses de vacina que estiverem disponíveis e qualquer sintoma mais persistente, procurem um médico e façam o teste.. não fica ignorando pq vc pode passar isso pros mais vulneráveis e pras pessoas que vc ama",
2563,"@JosianeLopesdo8 @Henriqu06435251 @Joxxhh @LulaOficial São completamente anti-saude. Ainda mais um agente da Saúde. Nós estudamos por ANOS e aprendemos a importância da prevenção, sendo ela a mais conhecida a vacinação. Ao nascer, todos tomamos BGH, que previne tuberculose, por que com COVID seria diferente ?",replied_to
7252,"@rosmalach @lucinhalevita Pois é, 69mi ñ tomaram a segunda dose, tem vacina contra Covid vencendo pq as pessoas ñ usam. Tem d implorar p os pais vacinarem seus filhos contra pólio...
Mimimi d sempre,lavagem cerebral feita pela Globo q se aproveita da pouca capacidade d raciocínio d parte do povo papagaio.",replied_to
