,tweet,tipo
7451,"@brasil247 Nem eu. Nas festas aqui de casa , já coloco assim no convite : ""Bolsonarista não entra"". Ainda exijo certificado de vacina, máscara e só entra assim.",replied_to
809,Essa vacina contra menigite dá uma boa destruída hein?!,
3433,"@RubensNunesMBL DEIXA DE CHILIQUE, PLAYBOY!!! CADE O PROCESSO QUANDO BOLSONARO DEBOCHAVA DAS  VÍTIMAS DA COVID DO ATRASO DE VACINA DE RECOMENDA REMÉDIO SEM EFICÁCIA?",replied_to
61,"@Ronaldfenomeno8 @murilocarneiro @claudioedantas Eu na caverna. Diminuiu. O contágio? Mortes? Transmissão? Tem que decidir e responder. Porque perdi 2 Tios vacinados um com 2 doses (Coron@vac) outro 2 doses (Coron@vac)+01 Astr@zenica. Quero resposta. A então pra eles a vacina serviu. Aquela máxima? ""pelo menos morreu vacinado""",replied_to
6577,Meudeus que ódio eu esqueci o cartão de vacina,
2628,baita duns muleque enormeee vindo com a mãe e com o pai pra tomar vacina e consulta aí pelo amor,
1006,"@joellogic90pt @RyanAFournier Ehehe ya. 

Malta a morrer após as vacinas e crianças a ter miocardite --&gt; ""não há provas que seja isso, não tem relação, não acredito"" 

Estudo sobre como não ter vacina predispõe a acidentes de automóvel --&gt; ""acredito sim, deu nas notícias""",replied_to
15363,"@LulaOficial Porra de não combateu, queria comprar vacina que não tinha aprovação ? Deixaram os governadores ter poder mais q o presidente, bando de gente que não deveria estar no poder, o povo vai se libertar desse tipo de gente.",replied_to
2463,"""fazer a vacina é um ato de ditadura"" 

e assim eles se consagram os mais burros do planeta",
6559,"Corpo todo dolorido, braço rígido, cansada pra krl e sem fome obg vacina por me proteger e me capotar 🥰",
13957,@reporterenato É preocupante. Mas cobrar como se fosse culpa dele e um pouco over. A vacina bivalente só começou a chegar agora e como sempre em quantidade insuficiente. Se conseguirem botar ordem e oferecer vacinas como deve ser até o ano que vem será uma mega vitória. Cobrar agora é sacanagem,replied_to
8743,@sergiobtmendes @FariaLimaElevat Toma a 6° dose da vacina de 2019 que passa.,replied_to
5020,"Processo pelo COVID? KKK tem que processar todos os governantes do mundo. Nos EUA, a vacinação começou em dezembro, e não diminuiu em nada o número de mortes. Lá é quase o dobro que no Brasil. https://t.co/fuxI6IXRtU",quoted
8410,"Os comunas não cansam de passa vergonhaa.
Bando de hipócritas pró vacina e mascaras prôs outros https://t.co/nJVkIE558c",quoted
12336,"tomei uma vacina em cada braço, tô mole🫠",
5244,"@Cria764728751 Se tomar vacina, vira um jacagado. 🐊🐮",replied_to
13296,"Levei meus primos pra tomar vacina, quem tomou fui eu 4 ainda",
3923,"Rede de Frio realizará vacinação contra o Covid-19 na Praça Adami, nesta quinta-feira. https://t.co/nUncIZifzA https://t.co/XGCyKJ8mtw",
3839,tenho que ir no postinho tomar vacina e tou deitada esperando a ket ket trazer bolo de chocolate,
1047,"Esteio terá ação especial de vacinação contra a covid-19 no sábado
https://t.co/VaiLaYYWM1 https://t.co/gCHBQFiBJ7",
8117,"E questão também ñ  é somente sobre a vacina, mas sim sobre os efeitos colaterais dela no sangue do doador. Vc ñ aceitaria o sangue d uma pessoa com diabetes sem ela estar devidamente sob controle e acompanhamento médico, ou aceitaria?",replied_to
7951,meu deus a vacina me derrubou em níveis absurdos,
7437,"@lucinhalevita Ele só  perdeu por causa da vacina , mandou o povo comprar e muitos morreram. O Guedes que veio na TV dizer que o tisouro tinha muito dinheiro.Ele não serve nem para presidente de nada,ele é  um zero há  esquerda.",replied_to
9110,"@welingtonmo @kimpaim Bolsonaro - impediu a prisão em segunda instância, minou a CPI da lavatoga, botou um ministro corrupto no MEC, superfaturou a vacina da índia, comprou 51 imóveis em dinheiro vivo, incitou golpe de estado diversas vezes... Tá bom ou quer mais?",replied_to
13888,"Se essa vacina abaixar meu desempenho sábado, vou ficar puto",
8502,"@_geovanaeuzebio sai daí maluca, é a vacina",replied_to
14268,"@rgsheila É revoltante, eu tento não ler mais nada, mas não consigo. Na minha idade o que me resta e sair do país, mas vou ter que tomar vacina. Caraca e fogo. Vou pro Uruguai, vou de carro😂😂😂",replied_to
3079,@Davi_C_Costa @brunafontanini @mustbeanerror @canaepunk @TanaraOliveir10 @LulaOficial E sobre a vacina sem aprovação da Anvisa e com o contrato que possuía kkkkk,replied_to
3067,"Alagoinhas enfrenta desabastecimento da Coronavac e abre agendamento para aplicação da vacina
https://t.co/Fe1chaz8LG",
9078,@EliasSallesMD @FabinhoSouza446 @g1 Existe algum estudo que relaciona essas doenças como impedimento pra vacina?,replied_to
