,reply_settings,text,idleft,source,created_at,edit_history_tweet_ids,conversation_id,lang,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,in_reply_to_user_id,geo.place_id,geo.coordinates.type,geo.coordinates.coordinates,type,idright
0,everyone,"RT @camarotedacpi: ⚠️ UMA CRIANÇA POR DIA

Uma criança entre 5 meses e 5 anos morreu de Covid-19, por dia, entre janeiro e outubro de 2022.…",1603083198543679493,Twitter for Android,2022-12-14T17:43:13.000Z,['1603083198543679493'],1603083198543679493,pt,1016722302812213248,37,0,0,0,,,,,retweeted,1603032323703951361
1,everyone,"Um bom lugar pra cometer atentado, seria nesses hospitais públicos. Não devemos esquecer que cabeças de jornalistas, médicos, enfermeiras psicopatas do covid tem que rodar. Vai condicionar um tratamento a uma vacina na puta que pariu.",1603083161411457025,Twitter Web App,2022-12-14T17:43:04.000Z,['1603083161411457025'],1603083161411457025,pt,1518484275762544640,0,0,0,0,,,,,,
2,everyone,"@antoniotelles10 @mqueiroga2 Como morreria com ela, vacina em 1 ano não existe amiguinho, no mínimo somos os ratos de um experimento humano as famosas cobaias. 
Se é q vc sabe o q é isso né ... massa manipulada.",1603083103873941505,Twitter for Android,2022-12-14T17:42:50.000Z,['1603083103873941505'],1602670713181282306,pt,1587173757252157443,0,0,0,0,3356799879,,,,replied_to,1602745024336240641
3,everyone,"@mcvmori @edisantospoa @GeneralMourao O equilíbrio entre os 3 poderes se faz necessário.

Quando um golpista tentou roubar de vacina e ganhar eleição no tapete, o poder Judiciário precisou agir pra manter as regras dentro da legalidade.",1603083097645481985,Twitter for Android,2022-12-14T17:42:48.000Z,['1603083097645481985'],1603066232655200257,pt,56130816,0,0,0,0,1589700223785476099,,,,replied_to,1603080688076574720
4,everyone,"RT @slpng_giants_pt: Os extremistas sempre usam ""isso é nazismo"" para isentar suas ações. Também usaram essa narrativa  para irem contra má…",1603083073306128384,Twitter for Android,2022-12-14T17:42:43.000Z,['1603083073306128384'],1603083073306128384,pt,35810163,14,0,0,0,,,,,retweeted,1603080879542239234
5,everyone,"RT @marciatiburi: Os terroristas em Brasília criaram a mentira do “infiltrado”,pois mentir é essencial para o avanço de seus empreendimento…",1603083058714152960,Twitter for Android,2022-12-14T17:42:39.000Z,['1603083058714152960'],1603083058714152960,pt,733601870,397,0,0,0,,,,,retweeted,1602954179890257923
6,everyone,Já começando a sentir que a 4 dose da vacina vai me destruir,1603082976212185088,Twitter for iPhone,2022-12-14T17:42:20.000Z,['1603082976212185088'],1603082976212185088,pt,1563635187333963784,0,0,0,0,,,,,,
7,everyone,Campanha de vacinação contra febre aftosa termina neste sábado (17) no Maranhão https://t.co/CpMxIB3p7s,1603082917487542273,Jetpack.com,2022-12-14T17:42:06.000Z,['1603082917487542273'],1603082917487542273,pt,1136826022056333325,0,0,0,0,,,,,,
8,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1603082905278111745,Twitter for iPhone,2022-12-14T17:42:03.000Z,['1603082905278111745'],1603082905278111745,pt,1185353944777797633,1348,0,0,0,,,,,retweeted,1602720475389517824
9,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",1603082895572213761,Twitter for Android,2022-12-14T17:42:00.000Z,['1603082895572213761'],1603082895572213761,pt,1382439059180691456,1348,0,0,0,,,,,retweeted,1602720475389517824
