,idleft,lang,reply_settings,text,source,edit_history_tweet_ids,author_id,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,in_reply_to_user_id,geo.place_id,withheld.copyright,withheld.country_codes,withheld.scope,geo.coordinates.type,geo.coordinates.coordinates,type,idright
0,1603179361439723520,pt,everyone,"Amazonas informa boletins da Covid-19, Mpox e vacinação nesta quarta-feira 

 https://t.co/KvMtqvyFR1 https://t.co/19xQNSNzvZ",Instagram,['1603179361439723520'],89922266,1603179361439723520,2022-12-15T00:05:20.000Z,0,0,0,0,,,,,,,,,
1,1603179346625458176,pt,everyone,"@BondJam78130362 Estive no hospital hoje por razões pessoais e ouvi de médicos e enfermeiras que isso é mais uma mentira dos globalistas. O virus é menos mortal e muita gente não vai se vacinar. O povo vai para as ruas contra a vacina da ""macrônia"". Vai ter manifestação se nos obrigarem.",Twitter Web App,['1603179346625458176'],1583841167631851523,1603167519430287361,2022-12-15T00:05:16.000Z,0,0,0,0,1502101306122637314,,,,,,,replied_to,1603176408351526913
2,1603179337225834496,pt,everyone,"RT @georgemazzaofic: O documento, elaborado por mais de 60 especialistas, é claro: a vacinação contra COVID deve ser interrompida, imediata…",Twitter Web App,['1603179337225834496'],62814805,1603179337225834496,2022-12-15T00:05:14.000Z,167,0,0,0,,,,,,,,retweeted,1601371157860876288
3,1603179323527430144,pt,everyone,RT @Arnaldomarx: @SD50616RCMEC @alexandre Por que não fizeram greve geral pra cessar as 5000 mil mortes diárias... Ou pedir vacina com urgê…,Twitter for Android,['1603179323527430144'],1478731899828948994,1603179323527430144,2022-12-15T00:05:11.000Z,1,0,0,0,,,,,,,,retweeted,1603158970084069383
4,1603179314668662784,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603179314668662784'],296049669,1603179314668662784,2022-12-15T00:05:08.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
5,1603179214794022913,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603179214794022913'],1090982590209802241,1603179214794022913,2022-12-15T00:04:45.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
6,1603179206199971841,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603179206199971841'],1266107885341286400,1603179206199971841,2022-12-15T00:04:43.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
7,1603179194472620036,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603179194472620036'],1564258417023373312,1603179194472620036,2022-12-15T00:04:40.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
8,1603179190328623104,pt,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",Twitter for iPhone,['1603179190328623104'],1519430054966661125,1603179190328623104,2022-12-15T00:04:39.000Z,1932,0,0,0,,,,,,,,retweeted,1602720475389517824
9,1603179188722319361,pt,everyone,"RT @mpatriabrasil: A igreja católica, cujo Pontífice exige a vacina, já perdeu centenas de padres este ano por infarto. A verdade é que nin…",Twitter for iPhone,['1603179188722319361'],1260622000013430788,1603179188722319361,2022-12-15T00:04:38.000Z,450,0,0,0,,,,,,,,retweeted,1603101408022171648
10,1603179164277903361,pt,everyone,@duuardaa5 3 arrependo demais... Peguei uma vez sem vacina...,Twitter for Android,['1603179164277903361'],1592955005102968833,1603138178147287045,2022-12-15T00:04:33.000Z,0,0,0,0,1457660593364680709,,,,,,,replied_to,1603138178147287045
11,1603179107843510275,pt,everyone,RT @mpatriabrasil: Mais uma criança de 7 anos encontrada morta dentro d casa. Já são dezenas d casos assim. A polícia investiga se houve en…,Twitter for Android,['1603179107843510275'],1522525150524096512,1603179107843510275,2022-12-15T00:04:19.000Z,487,0,0,0,,,,,,,,retweeted,1603016608087154688
12,1603179034459848704,pt,everyone,"RT @georgemazzaofic: O documento, elaborado por mais de 60 especialistas, é claro: a vacinação contra COVID deve ser interrompida, imediata…",Twitter for Android,['1603179034459848704'],50582184,1603179034459848704,2022-12-15T00:04:02.000Z,167,0,0,0,,,,,,,,retweeted,1601371157860876288
13,1603179029519126529,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603179029519126529'],3382165210,1603179029519126529,2022-12-15T00:04:00.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
14,1603179015988252674,pt,everyone,@azeitona @CiaronNayle @Analuciaborged @luiz_arocha @Rogerio71417247 Vc é tão 3ubb0. Que não sabe que a vacina é feita de partículas de vírus. E não de rna mensageiro,Twitter Web App,['1603179015988252674'],108859889,1601938325501255685,2022-12-15T00:03:57.000Z,0,0,0,0,97472252,,,,,,,replied_to,1603048898959970312
15,1603179012842455040,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter Web App,['1603179012842455040'],162892146,1603179012842455040,2022-12-15T00:03:56.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
16,1603179002654605314,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603179002654605314'],472252913,1603179002654605314,2022-12-15T00:03:54.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
17,1603178989538971648,pt,everyone,"RT @DouglasGarcia: Centenas de projetos de deputados serão pautados amanhã na ALESP e, mais uma vez, foi feita a inclusão do PL 668 que pro…",Twitter for Android,['1603178989538971648'],1042519787539230720,1603178989538971648,2022-12-15T00:03:51.000Z,142,0,0,0,,,,,,,,retweeted,1603113717792587776
18,1603178964087865346,pt,everyone,"Amanhã é dia de vacinação 🐂🐂, nada mais me abala 🥳🥳",Twitter for Android,['1603178964087865346'],1362194235567529985,1603178964087865346,2022-12-15T00:03:45.000Z,0,0,1,0,,,,,,,,,
19,1603178938678796288,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603178938678796288'],1523457948399423488,1603178938678796288,2022-12-15T00:03:39.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
20,1603178917946626049,pt,everyone,essa semana vou investir no auto cuidado ((fazer a 4 dose da vacina e tomar um passe)),Twitter Web App,['1603178917946626049'],43617179,1603178917946626049,2022-12-15T00:03:34.000Z,0,0,0,0,,,,,,,,,
21,1603178882982617088,pt,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",Twitter for Android,['1603178882982617088'],1092890037728018432,1603178882982617088,2022-12-15T00:03:25.000Z,1932,0,0,0,,,,,,,,retweeted,1602720475389517824
22,1603178882370355200,pt,everyone,"RT @mpatriabrasil: Em setembro Kym postou: Desinformação Mata, vacina salvam vidas e em seguida anunciou, com uma imagem de comidas gorduro…",Twitter for Android,['1603178882370355200'],1573748561879220227,1603178882370355200,2022-12-15T00:03:25.000Z,589,0,0,0,,,,,,,,retweeted,1602266469437407233
23,1603178854276907015,pt,everyone,"RT @mundodeNarnia22: @DaAcervo Muitas crianças se tornam autistas após a vacinação. De acordo com  pesquisa na Califórnia, publicada em mar…",Twitter for Android,['1603178854276907015'],1506961660736589824,1603178854276907015,2022-12-15T00:03:19.000Z,2,0,0,0,,,,,,,,retweeted,1602857275982548992
24,1603178823121793025,pt,everyone,"RT @DouglasGarcia: Centenas de projetos de deputados serão pautados amanhã na ALESP e, mais uma vez, foi feita a inclusão do PL 668 que pro…",Twitter for Android,['1603178823121793025'],963948513972375552,1603178823121793025,2022-12-15T00:03:11.000Z,142,0,0,0,,,,,,,,retweeted,1603113717792587776
25,1603178815575973888,pt,everyone,"@zoemartinez_05 Pode até não dá merda  tomar a vacina!
Mas tomar vai dar merda!!!",Twitter for Android,['1603178815575973888'],1425434557931737088,1593363538277433344,2022-12-15T00:03:09.000Z,0,0,0,0,730865469054435328,,,,,,,replied_to,1593363538277433344
26,1603178785897152512,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603178785897152512'],1268169524,1603178785897152512,2022-12-15T00:03:02.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
27,1603178747619950592,pt,everyone,"RT @caogonhal: Pouso Alegre/MG

Essa linda é a Bith. Foi resgatada das ruas com TVT, está finalizando o tratamento e aguarda por um lar. Se…",Twitter for Android,['1603178747619950592'],3428106874,1603178747619950592,2022-12-15T00:02:53.000Z,57,0,0,0,,,,,,,,retweeted,1603117627685183492
28,1603178706901630982,pt,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",Twitter for Android,['1603178706901630982'],1399084917695332355,1603178706901630982,2022-12-15T00:02:44.000Z,1932,0,0,0,,,,,,,,retweeted,1602720475389517824
29,1603178693106565120,pt,everyone,RT @mpatriabrasil: Mais uma criança de 7 anos encontrada morta dentro d casa. Já são dezenas d casos assim. A polícia investiga se houve en…,Twitter for Android,['1603178693106565120'],1518694141164675072,1603178693106565120,2022-12-15T00:02:40.000Z,487,0,0,0,,,,,,,,retweeted,1603016608087154688
30,1603178675348074496,pt,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",Twitter for Android,['1603178675348074496'],1575865040837623808,1603178675348074496,2022-12-15T00:02:36.000Z,1932,0,0,0,,,,,,,,retweeted,1602720475389517824
31,1603178633757179904,pt,everyone,"RT @DouglasGarcia: Centenas de projetos de deputados serão pautados amanhã na ALESP e, mais uma vez, foi feita a inclusão do PL 668 que pro…",Twitter for Android,['1603178633757179904'],1598304207672590336,1603178633757179904,2022-12-15T00:02:26.000Z,142,0,0,0,,,,,,,,retweeted,1603113717792587776
32,1603178624546390018,pt,mentionedUsers,"RT @minsaude: Faça como o Gabigol: para ser um campeão é preciso proteção. Pais ou responsáveis, levem seus filhos para vacinar contra a po…",Twitter for Android,['1603178624546390018'],178799716,1603178624546390018,2022-12-15T00:02:24.000Z,3396,0,0,0,,,,,,,,retweeted,1597676155414642688
33,1603178583106543616,pt,everyone,"RT @georgemazzaofic: O documento, elaborado por mais de 60 especialistas, é claro: a vacinação contra COVID deve ser interrompida, imediata…",Twitter for iPhone,['1603178583106543616'],751228064,1603178583106543616,2022-12-15T00:02:14.000Z,167,0,0,0,,,,,,,,retweeted,1601371157860876288
34,1603178543067930624,pt,everyone,RT @mpatriabrasil: Mais uma criança de 7 anos encontrada morta dentro d casa. Já são dezenas d casos assim. A polícia investiga se houve en…,Twitter for Android,['1603178543067930624'],1550539938730545154,1603178543067930624,2022-12-15T00:02:04.000Z,487,0,0,0,,,,,,,,retweeted,1603016608087154688
35,1603178536294092801,pt,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",Twitter for Android,['1603178536294092801'],1584255105980895232,1603178536294092801,2022-12-15T00:02:03.000Z,1932,0,0,0,,,,,,,,retweeted,1602720475389517824
36,1603178533760532480,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603178533760532480'],1488113675462451204,1603178533760532480,2022-12-15T00:02:02.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
37,1603178528777949188,pt,everyone,"RT @zeininha1: Ainnn gente... To bem não... Não durmo, como ou trabalho direito desde 30/10. Domingo teria sido o aniversário de 46 anos do…",Twitter for Android,['1603178528777949188'],55874319,1603178528777949188,2022-12-15T00:02:01.000Z,123,0,0,0,,,,,,,,retweeted,1602724117664391169
38,1603178498792820736,pt,everyone,"A remuneração é de R$ 1.216,16. O interessado deve ter acima de 18 anos, além de ensino médio completo e vacina da covid-19 em dia. Confira como participar do processo seletivo https://t.co/dd4cglKmB0",Twitter Web App,['1603178498792820736'],1162389304074821633,1603178498792820736,2022-12-15T00:01:54.000Z,0,0,0,0,,,,,,,,,
39,1603178478333202432,pt,mentionedUsers,"RT @minsaude: Faça como o Gabigol: para ser um campeão é preciso proteção. Pais ou responsáveis, levem seus filhos para vacinar contra a po…",Twitter for Android,['1603178478333202432'],71344226,1603178478333202432,2022-12-15T00:01:49.000Z,3396,0,0,0,,,,,,,,retweeted,1597676155414642688
40,1603178472481779713,pt,everyone,"RT @mundodeNarnia22: @DaAcervo Muitas crianças se tornam autistas após a vacinação. De acordo com  pesquisa na Califórnia, publicada em mar…",Twitter Web App,['1603178472481779713'],1060275672600510465,1603178472481779713,2022-12-15T00:01:48.000Z,2,0,0,0,,,,,,,,retweeted,1602857275982548992
